feature,importance_rf
TOT_LVG_AREA,0.2920934725816514
OCEAN_DIST,0.13759254815970276
structure_quality_5,0.10384276275500451
SPEC_FEAT_VAL,0.08972179446710628
SUBCNTR_DI,0.06981039392640796
LONGITUDE,0.06785271980241031
CNTR_DIST,0.05780364811662811
LND_SQFOOT,0.045691387792536
LATITUDE,0.03144152380214357
WATER_DIST,0.030984827469253746
age,0.01965529176924484
HWY_DIST,0.018629754801716025
RAIL_DIST,0.0130171718485606
structure_quality_2,0.009975480685860707
structure_quality_4,0.008609866976499483
structure_quality_3,0.0026076156689985963
month_sold_2,0.00010423587996029316
month_sold_3,9.366876688983232e-05
month_sold_8,7.905540842129957e-05
month_sold_6,7.04361049667787e-05
month_sold_7,5.156265920092093e-05
month_sold_12,5.083553259573244e-05
month_sold_9,4.891486458978862e-05
avno60plus_1,4.87210388016188e-05
month_sold_5,4.47668132722933e-05
month_sold_4,3.4054457905077635e-05
month_sold_11,2.8112654949026638e-05
month_sold_10,1.537519472248534e-05
