distance,CLEAR,PCS,CQR,S-Naive
0.01,3.4233828076039328,3.5290885082722925,3.7267333560550395,6.119523515634856
0.26,4.271622161440825,3.9116599873882816,4.556711851681785,6.119523515634856
0.51,5.056300821754905,4.583995651466791,5.280384488793927,6.119523515634856
0.76,5.9364528085337245,5.514600022931929,6.08290005730601,6.119523515634856
1.01,6.75632438278397,7.071279693119592,6.721128559138495,6.119523515634856
1.26,7.601943351703185,9.015241169964192,7.340372596716598,6.119523515634856
1.51,8.410472775109014,11.124724838842148,7.904003022374228,6.119523515634856
1.76,9.50157384538459,14.479565115375602,8.604317809542138,6.119523515634856
2.01,10.623297674712655,19.693120806935866,9.088546872194723,6.119523515634856
2.26,12.114568592680413,27.29024721454251,9.66180195995422,6.119523515634856
2.51,14.309889844573384,38.32388295932543,10.506242589487748,6.119523515634856
2.76,17.60692642112955,55.03164721827768,11.770079172419027,6.119523515634856
3.01,21.216603660149005,78.00135536685586,12.656435148584562,6.119523515634856
3.26,24.602134932636332,106.30085745401325,12.61545225048991,6.119523515634856
3.51,28.41537773752933,138.0943826783145,12.54657036117406,6.119523515634857
3.76,32.54993167794608,171.97761217532724,12.540201308524326,6.119523515634856
4.01,36.77330819233778,206.8294507495787,12.492196856968127,6.119523515634856
4.26,41.203838986696645,242.64939732431753,12.507722900305705,6.119523515634857
4.51,45.68633111090675,278.6411615452347,12.529259568948465,6.119523515634857
4.76,50.11932908315703,314.5581854040648,12.533204248655755,6.119523515634856
5.01,54.61030170465052,351.14580583909907,12.504089413782081,6.119523515634857
5.26,59.068281555208486,387.35099792539745,12.490735208880619,6.119523515634856
5.51,63.65367432744413,424.72412072444627,12.477843814360813,6.119523515634857
5.76,68.04153172511447,460.78369002328685,12.437777749660931,6.119523515634856
6.01,72.70123527555783,498.1414461524362,12.443215032641609,6.119523515634857
